Study ID	Max TMB	Min TMB	Median TMB
acbc_mskcc_2015	0.77	0.20	0.43
acc_tcga	65.87	1.27	2.95
acc_tcga_pan_can_atlas_2018	62.07	0.13	0.90
acyc_jhu_2016	1.10	0.07	0.47
acyc_mda_2015	1.57	0.63	0.90
acyc_mgh_2016	9.87	1.57	4.48
acyc_mskcc_2013	1.17	0.03	0.37
acyc_sanger_2013	0.87	0.03	0.37
all_phase2_target_2018_pub	1.57	0.03	0.13
all_stjude_2013	1.73	0.10	0.30
all_stjude_2016	1.03	0.03	0.30
aml_ohsu_2018	4.30	0.03	0.40
aml_target_2018_pub	0.63	0.03	0.10
ampca_bcm_2016	87.50	0.07	1.40
angs_painter_2020	60.37	0.27	1.87
angs_project_painter_2018	122.73	0.20	3.07
bfn_duke_nus_2015	2.27	0.03	0.40
blca_bgi	10.90	0.13	2.00
blca_cornell_2016	21.23	0.60	4.98
blca_dfarber_mskcc_2014	24.47	0.27	6.53
blca_tcga	41.60	0.47	5.65
blca_tcga_pan_can_atlas_2018	118.63	0.03	5.77
blca_tcga_pub	41.53	0.67	5.52
blca_tcga_pub_2017	118.07	0.07	5.53
brca_bccrc	6.43	0.03	0.80
brca_bccrc_xenograft_2014	11.10	0.60	1.95
brca_broad	7.80	0.27	0.87
brca_igr_2015	31.20	0.03	1.60
brca_mbcproject_wagle_2017	40.70	0.10	1.60
brca_mskcc_2019	0.80	0.07	0.27
brca_sanger	15.70	0.13	0.97
brca_smc_2018	10.47	0.10	0.83
brca_tcga	146.73	0.03	1.07
brca_tcga_pan_can_atlas_2018	180.30	0.03	1.40
brca_tcga_pub	9.40	0.10	1.13
brca_tcga_pub2015	127.70	0.10	1.20
ccle_broad_2019	638.83	0.47	9.03
ccrcc_dfci_2019	5.37	1.47	2.77
ccrcc_irc_2014	2.43	0.30	1.43
ccrcc_utokyo_2013	5.07	0.20	1.63
cellline_nci60	185.20	3.90	9.20
cesc_tcga	60.90	0.03	2.67
cesc_tcga_pan_can_atlas_2018	378.53	0.17	2.93
chol_jhu_2013	7.27	0.27	0.82
chol_nccs_2013	2.07	0.03	0.37
chol_nus_2012	1.10	0.63	0.78
chol_tcga	24.90	2.13	3.63
chol_tcga_pan_can_atlas_2018	21.83	0.20	1.45
cll_broad_2015	3.63	0.07	0.57
cll_iuopa_2015	1.53	0.03	0.43
cllsll_icgc_2011	0.83	0.03	0.33
coad_caseccc_2015	5.30	0.17	2.93
coad_cptac_2019	315.00	2.17	4.47
coadread_dfci_2016	149.73	0.07	4.80
coadread_genentech	312.03	1.03	2.95
coadread_tcga	330.73	0.67	2.57
coadread_tcga_pan_can_atlas_2018	381.57	0.30	3.50
coadread_tcga_pub	524.70	0.67	2.60
cscc_hgsc_bcm_2014	244.40	1.87	45.83
ctcl_columbia_2015	13.83	0.03	1.13
desm_broad_2015	87.87	0.70	25.25
dlbc_broad_2012	129.83	0.13	2.40
dlbc_tcga	81.73	0.60	3.78
dlbc_tcga_pan_can_atlas_2018	12.67	1.03	3.70
dlbcl_dfci_2018	142.90	0.10	2.40
dlbcl_duke_2017	1.33	0.03	0.20
egc_tmucih_2015	37.43	0.03	2.68
es_dfarber_broad_2014	10.43	0.23	2.53
es_iocurie_2014	1.17	0.03	0.23
esca_broad	56.10	1.17	3.80
esca_tcga	68.23	0.07	5.97
esca_tcga_pan_can_atlas_2018	56.97	0.03	3.53
escc_icgc	6.50	0.03	1.90
gbc_shanghai_2014	8.93	0.17	1.03
gbm_columbia_2019	3.30	0.80	1.87
gbm_mayo_pdx_sarkaria_2019	142.33	1.83	5.33
gbm_tcga	5.90	0.13	1.80
gbm_tcga_pan_can_atlas_2018	406.73	0.03	1.72
gbm_tcga_pub2013	3.83	0.10	1.33
gct_msk_2016	0.43	0.03	0.07
hcc_inserm_fr_2015	134.50	0.03	2.07
hnsc_broad	17.40	0.40	2.17
hnsc_jhu	2.53	0.07	0.57
hnsc_mdanderson_2013	5.77	0.33	2.07
hnsc_tcga	106.03	0.20	3.77
hnsc_tcga_pan_can_atlas_2018	91.67	0.07	3.58
hnsc_tcga_pub	48.17	0.10	3.47
ihch_smmu_2014	43.43	0.37	1.90
kich_tcga	27.20	1.30	2.07
kich_tcga_pan_can_atlas_2018	22.43	0.17	0.67
kich_tcga_pub	14.50	0.13	0.40
kirc_bgi	1.97	0.03	0.10
kirc_tcga	46.73	0.03	1.60
kirc_tcga_pan_can_atlas_2018	25.37	0.27	1.80
kirc_tcga_pub	4.27	0.27	1.67
kirp_tcga	4.20	0.20	1.68
kirp_tcga_pan_can_atlas_2018	34.40	0.30	2.23
laml_tcga	1.13	0.03	0.30
laml_tcga_pan_can_atlas_2018	26.13	0.03	0.53
laml_tcga_pub	1.13	0.03	0.30
lcll_broad_2013	1.63	0.03	0.43
lgg_tcga	13.63	0.03	0.77
lgg_tcga_pan_can_atlas_2018	362.67	0.03	0.93
lgg_ucsf_2014	62.97	0.03	0.93
lgggbm_tcga_pub	12.57	0.03	0.87
liad_inserm_fr_2014	2.87	0.03	0.43
lihc_amc_prv	34.23	0.07	2.20
lihc_riken	0.17	0.03	0.07
lihc_tcga	42.97	0.10	2.37
lihc_tcga_pan_can_atlas_2018	44.20	0.03	2.87
luad_broad	90.37	0.03	6.30
luad_mskcc_2015	38.50	0.30	6.40
luad_oncosg_2020	35.13	0.03	1.87
luad_tcga	44.77	0.43	5.33
luad_tcga_pan_can_atlas_2018	69.47	0.07	6.73
luad_tcga_pub	44.77	0.43	5.33
lusc_tcga	84.83	0.07	7.55
lusc_tcga_pan_can_atlas_2018	53.00	0.03	7.93
lusc_tcga_pub	82.40	0.07	7.73
mbl_broad_2012	2.90	0.03	0.35
mbl_icgc	1.07	0.03	0.17
mbl_pcgp	2.77	0.03	0.27
mbl_sickkids_2016	71.40	0.03	0.92
mbn_mdacc_2013	3.10	0.03	0.40
mcl_idibips_2013	1.27	0.13	0.57
mds_tokyo_2011	0.67	0.03	0.32
mel_tsam_liang_2017	84.80	0.53	2.60
mel_ucla_2016	137.20	3.43	16.57
meso_tcga	9.63	0.07	1.17
meso_tcga_pan_can_atlas_2018	8.73	0.03	0.95
metastatic_solid_tumors_mich_2017	203.83	0.07	2.15
mixed_allen_2018	216.73	0.43	7.73
mixed_pipseq_2017	303.33	0.37	1.90
mm_broad	11.60	0.13	1.13
mpn_cimr_2013	0.97	0.03	0.23
mrt_bcgsc_2016	0.57	0.03	0.17
msk_ch_2020	0.23	0.03	0.03
nbl_amc_2012	1.07	0.03	0.20
nbl_broad_2013	5.60	0.03	0.47
nbl_target_2018_pub	0.20	0.03	0.03
nbl_ucologne_2015	1.87	0.03	0.38
nccrcc_genentech_2014	6.60	0.03	0.73
nepc_wcm_2016	25.13	0.07	1.33
nhl_bcgsc_2011	4.20	0.63	1.53
nhl_bcgsc_2013	22.40	0.33	1.88
npc_nusingapore	11.30	0.03	0.55
nsclc_mskcc_2015	24.03	0.30	6.80
nsclc_mskcc_2018	49.90	0.37	5.73
nsclc_tcga_broad_2016	89.13	0.03	6.73
nsclc_tracerx_2017	47.47	0.30	4.63
ntrk_msk_2019	2.30	0.03	0.10
ov_tcga	5.27	0.27	1.43
ov_tcga_pan_can_atlas_2018	63.23	0.07	2.30
ov_tcga_pub	5.27	0.20	1.37
paac_jhu_2014	21.73	0.30	1.77
paad_icgc	2.67	0.07	0.58
paad_qcmg_uq_2016	36.60	0.03	1.10
paad_tcga	491.67	0.07	1.53
paad_tcga_pan_can_atlas_2018	478.00	0.03	1.18
paad_utsw_2015	13.30	0.67	1.77
pact_jhu_2011	1.30	0.03	0.33
panet_arcnet_2017	4.50	0.07	0.57
panet_jhu_2011	0.73	0.27	0.50
panet_shanghai_2013	0.47	0.03	0.18
past_dkfz_heidelberg_2013	0.33	0.03	0.07
pcnsl_mayo_2015	9.63	1.37	4.47
pcpg_tcga	1.47	0.13	0.47
pcpg_tcga_pan_can_atlas_2018	1.20	0.03	0.30
pcpg_tcga_pub	1.33	0.10	0.43
pediatric_dkfz_2017	31.73	0.03	0.23
plmeso_nyu_2015	1.17	0.07	0.70
pptc_2019	226.07	0.17	4.40
prad_broad	23.73	0.23	1.00
prad_broad_2013	4.80	0.17	1.03
prad_cpcg_2017	2.37	0.03	0.33
prad_eururol_2017	2.43	0.03	0.63
prad_fhcrc	38.77	0.10	1.43
prad_mich	24.33	0.47	1.33
prad_mpcproject_2018	23.33	1.10	2.77
prad_mskcc_2017	50.47	0.00	2.24
prad_mskcc_cheny1_organoids_2014	10.47	0.97	1.70
prad_p1000	201.70	0.03	1.03
prad_su2c_2015	42.03	0.93	2.42
prad_su2c_2019	41.73	0.03	1.93
prad_tcga	217.63	0.07	1.17
prad_tcga_pan_can_atlas_2018	208.20	0.03	0.90
prad_tcga_pub	24.27	0.03	0.70
prostate_dkfz_2018	48.00	0.03	0.60
rms_nih_2014	1.70	0.03	0.30
rt_target_2018_pub	0.23	0.03	0.07
sarc_tcga	56.20	0.07	1.17
sarc_tcga_pan_can_atlas_2018	58.53	0.07	1.38
