entrez_id	symbol	chromosome	cytoband
100533719	ANKRD20A14P	1	1q21.1
100873794	ASNSP5	1	1q21.1
26584	DUX1	10	-
-3	EGFRVIII	7	7p12
1574	CYP3A	7	7q21.3-q22.1
2575	GAGE3	X	Xp11.23
3262	HPVC1	7	7p11.2
10638	SPHAR	1	1q42.13
10896	OCLM	1	1q31.1
26069	DKFZP586B0319	3	3q29
26105	DKFZP434C153	1	1q42.13
26106	DKFZP586K1520	2	2q37.3
117852	TRIM78P	11	11p15
143286	LOC143286	10	10q24.32
152286	LOC152286	3	3p25.2
157503	LOC157503	8	8q11.23
157562	LOC157562	8	8q22.3
157860	LOC157860	8	8p11.23
157931	LOC157931	9	9q34.3
158863	LOC158863	X	Xq13.1
200609	LOC200609	2	2q37.3
200830	LOC200830	3	3q26.1
219688	LOC219688	10	10p12.33
221814	LOC221814	7	7p21.3
246734	NPCDR1	3	3p21.1
266621	DGCR7	22	22q11
266671	MAGI2-IT1	7	7q21.11
283075	LOC283075	10	10p12.31
283112	LOC283112	11	11p15.1
283270	LOC283270	11	11p13
283357	LOC283357	12	12p13.33
283475	LOC283475	13	13q32.2
283484	LOC283484	13	13q33.3
283516	LOC283516	13	13q14.11
283674	LOC283674	15	15q22.32
283713	LOC283713	15	15q13.1
283728	LOC283728	15	15q25.2
283745	LOC283745	15	15q14
283911	LOC283911	16	16p11.2
284112	LOC284112	17	17p13.2
284513	LOC284513	1	1p36.13
284570	LOC284570	1	1q32.1
284630	LOC284630	1	1p36.32
284669	LOC284669	1	1q32.3
285178	LOC285178	2	2q35
285181	LOC285181	2	2q36.1
285378	LOC285378	3	3p25.1
285464	CRIPAK	4	4p16.3
285736	FLJ35700	6	6q23.2
285957	LOC285957	7	7p13
286058	LOC286058	8	8p21.2
286068	LOC286068	8	8q11.21
286071	LOC286071	8	8q11.22
286121	LOC286121	8	8q24.3
286191	LOC286191	8	8q13.3
286272	LOC286272	9	9q12
286382	LOC286382	9	9q21.13
340085	LOC340085	5	5q11.2
340335	LOC340335	7	7q22.1
388439	FLJ12120	17	17p13.3
389405	LOC389405	6	6q12
390760	LOC390760	17	17p13.1
391230	LOC391230	20	20p12.3
399832	DKFZP686M1136	10	10q26.3
399884	LOC399884	11	11p11.2
400863	LOC400863	21	21q22.11
401052	LOC401052	3	3p25.3
402036	LOC402036	22	22q11.21
402269	LOC402269	7	7q11.21
414312	C9ORF118	9	9q22.32
440981	LOC440981	3	3q24
441347	LOC441347	8	8p11.21
574037	C1ORF134	1	1p36.13
642441	LOC642441	1	1q21.2
642620	LOC642620	7	7q36.3
642730	LOC642730	8	8q21.3
643520	LOC643520	9	9q22.32
643936	LOC643936	6	6p24.3
644058	LOC644058	6	6p24.3
644504	LOC644504	X	Xq22.3
645100	LOC645100	12	12q14.2
645263	LOC645263	15	15q21.1
645984	LOC645984	10	10p11.23
646014	LOC646014	17	17q24.1
646670	LOC646670	15	15q24.1
646767	LOC646767	7	7p15.1
646836	LOC646836	2	2q21.1
646865	LOC646865	4	4q32.1
647020	LOC647020	15	15q25.1
649201	LOC649201	X	Xq28
649783	LOC649783	6	6p21.3
649935	LOC649935	2	2p14
654348	PRAMEF16	1	1p36.21
692224	FBXO22-AS1	15	15q24.2
727961	LOC727961	18	18q21.2
728100	LOC728100	3	3q29
728375	LOC728375	2	2q24.3
729545	LOC729545	7	7q11.23
729574	FAM231AP	1	1p36.13
729587	FAM231C	1	1p36.13
729696	LOC729696	8	8q21.11
729722	LOC729722	15	15q11.1
100127971	LOC100127971	12	12q13.13
100127991	LOC100127991	7	7q36.3
100128001	LOC100128001	11	11p15.5
100128088	LOC100128088	11	11q22.2
100128107	LOC100128107	19	19q13.32
100128160	LOC100128160	3	3p13
100128170	LOC100128170	20	20q13.12
100128184	LOC100128184	20	20q13.33
100128198	LOC100128198	21	21q22.11
100128265	LOC100128265	X	Xq27.3
100128274	LOC100128274	9	9p21.1
100128320	LOC100128320	10	10q24.1
100128348	LOC100128348	16	16p11.2
100128402	LOC100128402	12	12p13.31
100128429	LOC100128429	19	19p13.11
100128430	LOC100128430	13	13q34
100128437	LOC100128437	15	15q22.2
100128498	LOC100128498	16	16q22.1
100128517	LOC100128517	6	6p23
100128551	LOC100128551	6	6q25.3
100128571	LOC100128571	17	17q21.33
100128591	LOC100128591	20	20q13.12
100128668	LOC100128668	20	20p12.3
100128691	LOC100128691	5	5q23.1
100128697	LOC100128697	10	10q26.3
100128795	LOC100128795	7	7p14.1
100128851	LOC100128851	17	17p11.2
100129042	LOC100129042	1	1p36.21
100129069	LOC100129069	11	11q24.2
100129112	LOC100129112	17	17q23.2
100129115	LOC100129115	17	17q21.31
100129125	LOC100129125	17	17p11.2
100129126	LOC100129126	7	7q11.21
100129171	LOC100129171	2	2q36.1
100129240	LOC100129240	4	4q35.1
100129275	LOC100129275	3	3q13.33
100129280	LOC100129280	7	7q21.3
100129311	LOC100129311	21	21q22.3
100129322	LOC100129322	6	6p24.1
100129324	LOC100129324	16	16q22.1
100129363	LOC100129363	15	15q26.1
100129380	LOC100129380	12	12q24.31
100129393	LOC100129393	15	15q15.1
100129397	LOC100129397	15	15q21.1
100129399	LOC100129399	6	6q21
100129406	LOC100129406	1	1p13.2
100129408	LOC100129408	18	18q21.31
100129447	LOC100129447	12	12q24.13
100129572	LOC100129572	4	4q31.23
100129721	LOC100129721	10	10q21.1
100129763	LOC100129763	4	4p16.1
100129775	LOC100129775	11	11q13.5
100129785	LOC100129785	9	9q34.11
100129846	LOC100129846	8	8p12
100129852	LOC100129852	6	6q16.3
100129884	LOC100129884	13	13q22.1
100129974	LOC100129974	17	17p13.3
100130051	LOC100130051	16	16p13.3
100130057	LOC100130057	16	16q12.1
100130078	LOC100130078	17	17q25.3
100130101	LOC100130101	8	8q22.1
100130175	LOC100130175	10	10q25.2
100130276	LOC100130276	16	16p13.13
100130278	LOC100130278	3	3p21.31
100130314	LOC100130314	16	16q12.1
100130372	LOC100130372	20	20q13.13
100130433	LOC100130433	9	9q21.33
100130442	LOC100130442	19	19p13.11
100130463	LOC100130463	13	13q34
100130542	LOC100130542	14	14q24.1
100130560	LOC100130560	15	15q26.1
100130573	LOC100130573	1	1q32.1
100130597	LOC100130597	21	21q22.3
100130654	LOC100130654	17	17q21.2
100130657	LOC100130657	17	17q24.2
100130741	LOC100130741	7	7q36.3
100130761	LOC100130761	2	2q24.2
100130778	LOC100130778	12	12q24.33
100130817	LOC100130817	16	16q13
100130857	LOC100130857	15	15q13.3
100130865	LOC100130865	4	4p16.3
100130920	LOC100130920	10	10p15.1
100130927	LOC100130927	6	6p25.2
100130976	LOC100130976	15	15q26.2
100131000	LOC100131000	17	17q25.3
100131004	LOC100131004	17	17q24.1
100131032	LOC100131032	1	1q32.2
100131034	LOC100131034	14	14q32.33
100131099	LOC100131099	20	20q13.33
100131101	LOC100131101	2	2q37.2
100131129	LOC100131129	16	16q24.1
100131150	LOC100131150	11	11q13.1
100131170	LOC100131170	17	17q25.3
100131195	LOC100131195	10	10q11.21
100131310	LOC100131310	X	Xp11.4
100131355	LOC100131355	9	9q34.11
100131581	LOC100131581	8	8p23.1
100131599	LOC100131599	20	20p12.3
100131654	LOC100131654	15	15q26.1
100131719	LOC100131719	10	10q26.13
100131820	LOC100131820	11	11p15.4
100131821	LOC100131821	17	17q21.2
100131822	LOC100131822	17	17q12
100131829	LOC100131829	4	4q23
100131840	LOC100131840	3	3p21.31
100131860	LOC100131860	15	15q25.2
100131864	LOC100131864	1	1p36.31
100131878	LOC100131878	14	14q32.11
100131894	LOC100131894	12	12q24.33
100131907	LOC100131907	19	19p13.3
100132006	LOC100132006	16	16p13.2
100132025	LOC100132025	15	15q11.2
100132069	LOC100132069	3	3p21.1
100132071	LOC100132071	16	16p13.13
100132197	LOC100132197	17	17p11.2
100132363	LOC100132363	16	16p13.3
100132365	LOC100132365	14	14q24.3
100132418	LOC100132418	10	10q11.23
100132474	LOC100132474	19	19p13.2
100132495	LOC100132495	1	1q21.1
100132800	LOC100132800	19	19q13.33
100133145	LOC100133145	17	17q25.3
100133301	FAM231BP	1	1p36.13
100287294	LOC100287294	7	7p11.2
100288336	LOC100288336	21	21q22.3
100288562	LOC100288562	8	8q21.2
100288675	LOC100288675	X	Xq26.2
100288908	LOC100288908	11	11p15.4
100289009	LOC100289009	11	11p13
100289058	LOC100289058	13	13q14.11
100505650	LOC100505650	1	1q32.1
100506514	LOC100506514	4	4q12
100506562	LOC100506562	22	22q13.2
100507113	ZNF638-IT1	2	2p13.1
100874336	ARID4B-IT1	1	1q42.3
100996629	LINC00849	10	10q21.3
100996721	LOC100996721	1	1p11.2
101243544	ERCC6-PGBD3	10	10q11
101362076	GVQW1	9	9p21.1
101927562	LOC101927562	11	11p15.5
101928589	LOC101928589	X	Xq23
101928635	LOC101928635	15	15q21.3
102723383	LOC102723383	1	1p36.13
102724229	LOC102724229	7	7q22.1
102724665	LOC102724665	6	6q16.1
103344718	HOTS	11	11p15.5
107080623	LINC01073	13	13q13.1
55547	HAB1	7	-
100506242	LOC100506242	1	-
102725117	LOC102725117	7	-
101929970	LOC101929970	15	-
102725207	LOC102725207	10	
644257	LOC644257	17	
100506944	LOC100506944	3	
102725138	LOC102725138	16	
100506217	LOC100506217	5	
729353	LOC729353	15	
101060386	LOC101060386	16	
101930168	LOC101930168	9	
101930075	LOC101930075	16	
26120	DKFZP564C152	11	
101929812	LOC101929812	5	
102725179	LOC102725179	10	
100653061	LOC100653061	5	
653380	LOC653380	17	
101930165	LOC101930165	18	
101060405	LOC101060405	16	
101059935	LOC101059935	9	
100873364	RNA5SP32	13	13q21.33
101930013	LOC101930013	16	
102724828	LOC102724828	11	
102725060	LOC102725060	18	
101930115	LOC101930115	16	
102724426	LOC102724426	3	
107984155	LOC107984155	16	
100874057	LINC00283	13	13q33.1
101929876	LOC101929876	20	
101060399	LOC101060399	16	
101060580	LOC101060580	15	
101060581	LOC101060581	10	
100134240	LOC100134240	2	
100873315	RNA5SP81	1	1q43
100509091	LOC100509091	X	
102723503	LOC102723503	14	
100996813	LOC100996813	17	
246318	FLJ13773	17	
101060604	LOC101060604	16	
102724985	LOC102724985	16	
649305	LOC649305	8	
100291323	LOC100291323	X	
101060181	LOC101060181	19	
101930006	LOC101930006	10	
101060521	LOC101060521	16	
101060596	LOC101060596	16	
101930123	LOC101930123	16	
105369145	LOC105369145	6	
105372382	LOC105372382	19	
100873651	RNA5SP398	15	15q23
100506667	LOC100506667	9	
100507494	LOC100507494	17	
100293704	LOC100293704	12	
