PANEL_NAME	NUM_OF_GENES	CDS_L	STUDY_ID	Max TMB	Min TMB	Median TMB
						
data_gene_panel_acyc_fmi_27.txt	27	97419	acc_tcga	93.689	0	4.519
			acyc_fmi_2014	41.06	0	10.265
						
data_gene_panel_heme400.txt	402	1065006	gct_msk_2020	9.39	0.267	1.133
			histiocytosis_cobi_msk_2019	4.667	0.033	0.183
			mds_mskcc_2020	130.683	0	6.11
						
						
data_gene_panel_fmi_t4b.txt	214	583587	acc_tcga	93.689	0	4.519
			breast_alpelisib_2020	352.355	0	10.213
						
						
data_gene_panel_impact230.txt	230	644691	coadread_mskcc	18.614	3.102	9.307
			urcc_mskcc_2016	12.409	0	3.102
						
data_gene_panel_impact300.txt	300	860715	blca_msk_tcga_2020	135.707	0	5.933
			egc_msk_2017	62.595	0	4.968
			blca_mskcc_solit_2014	53.444	1.162	9.295
			utuc_msk_2019	490.29	0	5.809
			utuc_pdx_msk_2019	410.343	0	10.929
						
						
data_gene_panel_impact341.txt	341	891219	blca_msk_tcga_2020	135.707	0	5.933
			blca_plasmacytoid_mskcc_2016	130.1	0.994	7.9
			blca_nmibc_2017	74.517	0	8.942
			breast_alpelisib_2020	352.355	0	10.213
			breast_msk_2018	14.833	0.033	0.133
			chol_msk_2018	47.691	0	2.981
			crc_msk_2017	354.703	0	6.955
			egc_msk_2017	62.595	0	4.968
			gbc_msk_2018	43.717	0	5.961
			glioma_mskcc_2019	455.053	0	3.974
			hcc_msk_venturaa_2018	12.337	0	3.365
			hcc_mskimpact_2018	11.477	0	3.974
			histiocytosis_cobi_msk_2019	4.667	0.033	0.183
			lung_msk_2017	97.575	0	5.961
			lung_msk_pdx	51.665	0	7.949
			mpnst_mskcc	136.829	0	53.834
			msk_impact_2017	452.072	0	3.974
			nsclc_pd1_msk_2018	97.575	0.883	7.898
			odg_msk_2017	53.653	1.987	6.345
			prad_cdk12_mskcc_2020	17.945	0	2.243
			prad_mcspc_mskcc_2020	67.094	0	2.648
			rectal_msk_2019	344.767	0	5.961
			summit_2018	75.511	0.994	6.842
