datatype	DATA_FILENAME	META_FILENAME	META_STABLE_ID	META_GENETIC_ALTERATION_TYPE	META_DATATYPE	META_SHOW_PROFILE_IN_ANALYSIS_TAB	META_PROFILE_NAME	META_PROFILE_DESCRIPTION	META_REFERENCE_GENOME_ID	META_GENERIC_ASSAY_TYPE	META_GENERIC_ENTITY_meta_PROPERTIES
clinical	data_clinical.txt	meta_clinical.txt			CLINICAL						
clinical-sample	data_clinical_sample.txt	meta_clinical_sample.txt		CLINICAL	SAMPLE_ATTRIBUTES						
clinical-patient	data_clinical_patient.txt	meta_clinical_patient.txt		CLINICAL	PATIENT_ATTRIBUTES						
clinical-supp	data_clinical_supp.txt	meta_clinical.txt			CLINICAL						
clinical-supp-other	data_clinical_supp_*.txt	meta_clinical.txt			CLINICAL						
clinical-caises	data_clinical_caises.xml	meta_clinical_caises.txt			CLINICAL						
time-line-data	data_timeline.txt	meta_timeline.txt			CLINICAL						
time-line-data-other	data_timeline_*.txt	meta_timeline.txt			CLINICAL						
time-line-data	data_timeline_sample_acquisition.txt	meta_timeline_sample_acquisition.txt			CLINICAL						
time-line-data	data_timeline_status.txt	meta_timeline_status.txt			CLINICAL						
time-line-data	data_timeline_treatment.txt	meta_timeline_treatment.txt			CLINICAL						
rppa	data_rppa.txt	meta_rppa.txt	rppa	PROTEIN_LEVEL	LOG2-VALUE	FALSE	Protein expression (RPPA)	Protein expression measured by reverse-phase protein array			
rppa-zscores	data_rppa_zscores.txt	meta_rppa_zscores.txt	rppa_Zscores	PROTEIN_LEVEL	Z-SCORE	TRUE	Protein expression z-scores (RPPA)	Protein expression, measured by reverse-phase protein array, z-scores			
protein-quantification	data_protein_quantification.txt	meta_protein_quantification.txt	protein_quantification	PROTEIN_LEVEL	CONTINUOUS	FALSE	Protein levels (mass spectrometry)	Protein levels (mass spectrometry)			
protein-quantification-zscores	data_protein_quantification_zscores.txt	meta_protein_quantification_zscores.txt	protein_quantification_zscores	PROTEIN_LEVEL	Z-SCORE	TRUE	Protein levels z-scores (mass spectrometry)	Protein levels z-scores (mass spectrometry)			
phosphoprotein_quantification	data_phosphoprotein_quantification.txt	meta_phosphoprotein_quantification.txt	phosphoprotein_quantification	GENERIC_ASSAY	LIMIT-VALUE	TRUE	Phosphoprotein site level expression data by CPTAC (TMT, Log2ratio)	Phosphoprotein site level expression data given in log-ratio (normalized) by CPTAC.		PHOSPHOSITE_QUANTIFICATION	GENE_SYMBOL,PHOSPHOSITE
cna-foundation	data_CNA_foundation.txt	meta_CNA_foundation.txt	cna	COPY_NUMBER_ALTERATION	DISCRETE	TRUE	Putative copy-number alterations from Foundation	Putative copy-number calls on cases determined by Foundation Medicine. Values: -2 = homozygous deletion; 2 = high level amplification.			
cna-gistic	data_CNA.txt	meta_CNA.txt	gistic	COPY_NUMBER_ALTERATION	DISCRETE	TRUE	Putative copy-number alterations from GISTIC	Putative copy-number calls on cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.			
cna-rae	data_cna_rae.txt	meta_cna_rae.txt	cna_rae	COPY_NUMBER_ALTERATION	DISCRETE	TRUE	Putative copy-number alterations from RAE	Putative copy-number calls on cases determined using the RAE algorithm by Barry Taylor @MSKCC. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.			
cna-consensus	data_cna_consensus.txt	meta_cna_consensus.txt	cna_consensus	COPY_NUMBER_ALTERATION	DISCRETE	TRUE	Putative copy-number alterations (Consensus)	Putative copy-number calls for genes which are the consensus of a combination of the Agilent 244k and Affymetrix SNP6 platforms and three different methods (RAE, GISTIC, GTS).			
cna-gistic	data_cna.txt	meta_cna.txt	gistic	COPY_NUMBER_ALTERATION	DISCRETE	TRUE	Putative copy-number alterations from GISTIC	Putative copy-number calls on cases determined using GISTIC 2.0. Values: -2 = homozygous deletion; -1 = hemizygous deletion; 0 = neutral / no change; 1 = gain; 2 = high level amplification.			
cna-hg19-seg-std	data_cna_hg19.seg	meta_cna_hg19_seg.txt		COPY_NUMBER_ALTERATION	SEG	FALSE	Segment data values	Somatic CNA data (copy number ratio from tumor samples minus ratio from matched normals) from TCGA.	hg19		
cna-hg18-seg-std	data_cna_hg18.seg	meta_cna_hg18_seg.txt		COPY_NUMBER_ALTERATION	SEG	FALSE	Segment data values	Somatic CNA data (copy number ratio from tumor samples minus ratio from matched normals) from TCGA.	hg18		
gistic-genes-amp	data_gistic_genes_amp.txt	meta_gistic_genes_amp.txt	gistic_genes_amp	GISTIC_GENES_AMP	Q-VALUE	FALSE	Putative copy-number alterations (amplifications) from GISTIC	Putative copy-number amplifications determined using GISTIC 2.0.	hg19		
gistic-genes-del	data_gistic_genes_del.txt	meta_gistic_genes_del.txt	gistic_genes_del	GISTIC_GENES_DEL	Q-VALUE	FALSE	Putative copy-number alterations (deletions) from GISTIC	Putative copy-number deletions determined using GISTIC 2.0.	hg19		
linear-cna-gistic	data_linear_CNA.txt	meta_linear_CNA.txt	linear_CNA	COPY_NUMBER_ALTERATION	CONTINUOUS	FALSE	Relative linear copy-number values	Relative linear copy-number values for each gene (from Affymetrix SNP6).			
linear-cna-gistic	data_linear_cna.txt	meta_linear_cna.txt	linear_CNA	COPY_NUMBER_ALTERATION	CONTINUOUS	FALSE	Relative linear copy-number values	Relative linear copy-number values for each gene (from Affymetrix SNP6).			
log2-cna	data_log2CNA.txt	meta_log2CNA.txt	log2CNA	COPY_NUMBER_ALTERATION	LOG2-VALUE	FALSE	Log2 copy-number values	Log2 copy-number values for each gene.			
log2-cna	data_log2_cna.txt	meta_log2_cna.txt	log2CNA	COPY_NUMBER_ALTERATION	LOG2-VALUE	FALSE	Log2 copy-number values	Log2 copy-number values for each gene.			
armlevel_cna	data_armlevel_cna.txt	meta_armlevel_cna.txt	armlevel_cna	GENERIC_ASSAY	CATEGORICAL	TRUE	Putative arm-level copy-number from GISTIC	Putative arm-level copy-number from GISTIC 2.0.		ARMLEVEL_CNA	NAME,DESCRIPTION
mutation	data_mutations.txt	meta_mutations.txt	mutations	MUTATION_EXTENDED	MAF	TRUE	Mutations	Mutation data from whole exome sequencing.			
mutation-uncalled	data_mutations_uncalled*	meta_mutations_uncalled.txt	mutations_uncalled	MUTATION_UNCALLED	MAF	FALSE	Mutations Uncalled	Mutation data from whole exome sequencing. (Uncalled)			
mutation-significance-v2	data_mutsig.txt	meta_mutsig.txt	mutsig	MUTSIG	Q-VALUE	FALSE		Mutation analysis via MutSig from whole exome sequencing.			
structural-variant	data_sv.txt	meta_sv.txt	structural_variants	STRUCTURAL_VARIANT	SV	TRUE	Structural variants	Structural Variant Data			
methylation-hm27	data_methylation_hm27.txt	meta_methylation_hm27.txt	methylation_hm27	METHYLATION	CONTINUOUS	FALSE	Methylation (HM27)	Methylation (HM27) beta-values for genes in cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-hm450	data_methylation_hm450.txt	meta_methylation_hm450.txt	methylation_hm450	METHYLATION	CONTINUOUS	FALSE	Methylation (HM450)	Methylation (HM450) beta-values for genes in cases. For genes with multiple methylation probes, the probe most anti-correlated with expression.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-hm27-hm450-merge	data_methylation_hm27_hm450_merged.txt	meta_methylation_hm27_hm450_merged.txt	methylation_hm27_hm450_merge	METHYLATION	CONTINUOUS	TRUE	Methylation (HM27 and HM450 merge)	Methylation between-platform (hm27 and hm450) normalization values.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-promoters-hmepic	data_methylation_promoters_hmEPIC.txt	meta_methylation_promoters_hmEPIC.txt	methylation_promoters_hmEPIC	METHYLATION	CONTINUOUS	TRUE	Methylation (HMEPIC)	Methylation beta-values (Infinium MethylationEPIC platform). This matrix is collapsed to include only promoters.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-promoters-hmepic	data_methylation_promoters_hmepic.txt	meta_methylation_promoters_hmepic.txt	methylation_promoters_hmEPIC	METHYLATION	CONTINUOUS	TRUE	Methylation (HMEPIC)	Methylation beta-values (Infinium MethylationEPIC platform). This matrix is collapsed to include only promoters.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-promoters-wgbs	data_methylation_promoters_wgbs.txt	methylation_promoters_wgbs	METHYLATION	CONTINUOUS	TRUE	Methylation (WGBS)	Methylation beta-values by whole-genome bisulfite sequencing. Values are the average fractional methylation value across promoter CpGs for the labeled gene.			METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-promoters-rrbs	data_methylation_promoters_rrbs.txt	methylation_promoters_rrbs	METHYLATION	CONTINUOUS	TRUE	Methylation (RRBS)	Methylation beta-values by rapid multiplexed reduced representation bisulfite sequencing.			METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-genebodies-hmepic	data_methylation_genebodies_hmEPIC.txt	methylation_genebodies_hmEPIC	METHYLATION	CONTINUOUS	TRUE	Methylation (HMEPIC)	Methylation beta-values (HMEPIC platform). Values are the average fractional methylation value across exons for the labeled gene.			METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-genebodies-hmepic	data_methylation_genebodies_hmepic.txt	methylation_genebodies_hmEPIC	METHYLATION	CONTINUOUS	TRUE	Methylation (HMEPIC)	Methylation beta-values (HMEPIC platform). Values are the average fractional methylation value across exons for the labeled gene.			METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-genebodies-wgbs	data_methylation_genebodies_wgbs.txt	methylation_genebodies_wgbs	METHYLATION	CONTINUOUS	TRUE	Methylation (WGBS)	Methylation beta-values by whole-genome bisulfite sequencing. Values are the average fractional methylation value across exons of the labeled gene.			METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-epic	data_methylation_epic.txt	meta_methylation_epic.txt	methylation_epic	METHYLATION	CONTINUOUS	TRUE	Methylation (EPIC)	Methylation (EPIC) beta-values for genes in cases.		METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
methylation-binary	data_methylation_binary.txt	meta_methylation_binary.txt								METHYLATION	NAME,DESCRIPTION,TRANSCRIPT_ID
affymetrix-gene-expression	data_expression.txt	meta_expression.txt	mrna_U133	MRNA_EXPRESSION	CONTINUOUS	FALSE	mRNA expression (U133 microarray only)	mRNA expression data from the Affymetrix U133 microarray.			
affymetrix-gene-expression-zscores	data_expression_zscores.txt	meta_expression_zscores.txt	mrna_U133_Zscores	MRNA_EXPRESSION	Z-SCORE	TRUE	mRNA expression z-scores (U133 microarray only)	mRNA z-scores (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.			
