NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	PRIORITY	ATTRIBUTE_TYPE
AA_DNA_MUTATION_SIGNATURE	AA DNA MUTATION SIGNATURE	AA DNA MUTATION SIGNATURE	STRING	1	SAMPLE
AA_SIGNATURE_NON_NORMALIZED	AA SIGNATURE NON NORMALIZED	AA SIGNATURE NON NORMALIZED	STRING	1	SAMPLE
AA_SIGNATURE_NORMALIZED	AA SIGNATURE NORMALIZED	AA SIGNATURE NORMALIZED	STRING	1	SAMPLE
ABDOMINAL_DISTENSION	Abdominal Distension (Weeks)	Abdominal Distension (Weeks)	NUMBER	1	PATIENT
ABDOMINAL_MASS_WEEKS	Abdominal Mass (Weeks)	Abdominal Mass (Weeks)	NUMBER	1	PATIENT
ABDOMINAL_PAIN_WEEKS	Abdominal Pain (Weeks)	Abdominal Pain (Weeks)	NUMBER	1	PATIENT
ABERRANT_CELL_FRACTION	Aberrant Cell Fraction	Aberrant Cell Fraction	STRING	1	SAMPLE
ABI_ENZA_EXPOSURE_STATUS	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	STRING	1	PATIENT
ABLATION_EMBOLIZATION_TX_ADJUVANT	Ablation embolization tx adjuvant	Ablation embolization tx adjuvant	STRING	1	PATIENT
ABNORMAL_LYMPHOCYTE_PERCENT	Abnormal Lymphocyte Percent	Abnormal Lymphocyte Percent	NUMBER	1	SAMPLE
ABSOLUTE_CANCER_DNA_FRACTION	Absolute cancer dna fraction	Absolute cancer dna fraction	NUMBER	1	SAMPLE
ABSOLUTE_EXTRACT_PLOIDY	Absolute Extract Ploidy	Absolute extract ploidy.	NUMBER	1	SAMPLE
ABSOLUTE_EXTRACT_PURITY	Absolute Extract Purity	Absolute extract purity.	NUMBER	1	SAMPLE
ABSOLUTE_GENOME_DOUBLINGS	Absolute Genome Doublings	Absolute Genome Doublings	STRING	1	SAMPLE
ABS_NEUTROPHIL_VALUE	Abs Neutrophil Value	Abs Neutrophil Value	STRING	1	PATIENT
ACCESSION_OUT	Accession Out	Accession Out	STRING	1	SAMPLE
ACGH_DATA	ACGH Data	ACGH Data.	STRING	1	SAMPLE
ACGH_TUMOR_TYPE	aCGH Tumor Type	aCGH Tumor Type	STRING	1	SAMPLE
ACHIEVED_RESECTION	Achieved Resection	Achieved Resection	STRING	1	PATIENT
ACTIONABLE_ALTERATIONS	Actionable Alterations	Number of actionable alterations	NUMBER	1	SAMPLE
ACTIONABLE_ALT_LEVEL	Level of actionable alterations	Level of actionable alterations	STRING	1	SAMPLE
ADDITIONAL_NOTES	Additional Notes	Additional Notes	STRING	1	SAMPLE
ADDITIONAL_RX_TX	Additional Radiation Therapy	Additional radiation therapy Yes/No indicator	STRING	1	PATIENT
ADDITIONAL_SAMPLE	Is there an additional sample?	Is there an additional sample?	STRING	1	SAMPLE
ADDITIONAL_SURGERY_FOR_NEW_TUMOR_EVENT	Additional Surgery For New Tumor Event	Additional Surgery For New Tumor Event	STRING	1	SAMPLE
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_PHARMACEUTICAL	Additional Treatment For New Tumor Event: Pharmaceutical	Additional Treatment For New Tumor Event: Pharmaceutical	STRING	1	PATIENT
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_RADIATION	Additional Treatment For New Tumor Event: Radiation	Additional Treatment For New Tumor Event: Radiation	STRING	1	PATIENT
ADIPOSE_TISSUE_PERCENTAGE	% Adipose Tissue	% Adipose Tissue	NUMBER	1	SAMPLE
ADJUVANT_CHEMO	Adjuvant Chemotherapy	Adjuvant Chemotherapy	STRING	1	PATIENT
ADJUVANT_CT	Adjuvant Chemotherapy	Adjuvant chemotherapy receivec	STRING	1	PATIENT
ADJUVANT_FOLFOX_METACHRONOUS_METS	Metachronous Mets received adj FOLFOX	For metachronous mets, did they get adjuvant FOLFOX	STRING	1	SAMPLE
ADJUVANT_HAIP	Adjuvant HAIP	Adjuvant HAIP	STRING	1	PATIENT
ADJUVANT_HORMONE_THERAPY	Adjuvant Hormone Therapy	Adjuvant Hormone Therapy	STRING	1	PATIENT
ADJUVANT_NEOADJ_IMATINIB	Adjuvant/Neoadjuvant Imatinib	Adjuvant/Neoadjuvant Imatinib	STRING	1	PATIENT
ADJUVANT_TX	Adjuvant Treatment	Adjuvant treatment.	STRING	1	PATIENT
ADJ_RT_AFTER_FIRST_SURGERY	Adjuvant RT after first surgery?	Adjuvant RT after first surgery?	STRING	1	PATIENT
ADJ_TX_AFTER_FIRST_SURGERY	Adjuvant therapy after first surgery?	Adjuvant therapy after first surgery?	STRING	1	PATIENT
ADJ_XRT	MedR Adjuvant Radiation	Status of adjuvant radiation therapy. Adjuvant therapy is therapy received after surgery.	STRING	1	PATIENT
ADMINISTRATION_OF_DRUG_WEEKS	Administration Of Drug Weeks	Administration Of Drug Weeks	NUMBER	1	PATIENT
AE1	AE1	AE1	STRING	1	SAMPLE
AE1_AE3_STAIN	AE1:AE3 Stain	AE1:AE3 Stain	STRING	1	SAMPLE
AFB1_SIGNATURE_NON_NORMALIZED	AFB1 SIGNATURE NON NORMALIZED	AFB1 SIGNATURE NON NORMALIZED	STRING	1	SAMPLE
AFB1_SIGNATURE_NORMALIZED	AFB1 SIGNATURE NORMALIZED	AFB1 SIGNATURE NORMALIZED	STRING	1	SAMPLE
AFP_AT_PROCUREMENT	AFP At Procurement	Alpha Fetoprotein At Procurement	STRING	1	SAMPLE
AFP_NORM_RANGE_LOWER	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	STRING	1	SAMPLE
AFP_NORM_RANGE_UPPER	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	STRING	1	SAMPLE
AGE	Diagnosis Age	Age at which a condition or disease was first diagnosed.	NUMBER	1	PATIENT
AGENT	AGENT	AGENT	STRING	1	PATIENT
AGE_AT_BIRTH_OF_FIRST_CHILD	Age at Birth Of First Child	Age at Birth Of First Child	NUMBER	1	PATIENT
AGE_AT_BMI_MEASUREMENT	Age at BMI Measurement	Age at BMI Measurement	NUMBER	1	PATIENT
AGE_AT_DEATH	Age at Death	Age at Death	STRING	1	PATIENT
AGE_AT_DIAGNOSIS	Age at Diagnosis	Age at Diagnosis	NUMBER	1	PATIENT
AGE_AT_DIAGNOSIS_GROUP	MedR Age at Diagnosis	Patient's age at the time of primary diagnosis with cancer grouped into 5 year intervals.	STRING	1	PATIENT
AGE_AT_INITIAL_DIAGNOSIS	Age at Initial Diagnosis	Age recorded at initial diagnosis	NUMBER	1	SAMPLE
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS	Age At Initial Pathological Diagnosis	Age At Initial Pathological Diagnosis	NUMBER	1	PATIENT
AGE_AT_LAST_FOLLOWUP	Age At Last Follow-Up	Age At Last Follow-up	NUMBER	1	PATIENT
AGE_AT_PROCEDURE	Age at Procedure	Age recorded at procedure	NUMBER	1	SAMPLE
AGE_AT_PROCUREMENT	Age At Procurement	Age At Procurement Of The Submitted Specimen	NUMBER	1	PATIENT
AGE_AT_RELAPSE	Age at relapse	Age at relapse	NUMBER	1	PATIENT
AGE_AT_SEQ_REPORT	Age at Which Sequencing was Reported (Days)	Age (in days) at which sequencing was reported	NUMBER	1	SAMPLE
AGE_AT_SURGERY	Age At Surgery	Age at surgery.	NUMBER	1	PATIENT
AGE_CELL_LINE_YEAR	Age of patient when cell line was established	Age of patient when cell line was established	NUMBER	1	PATIENT
AGE_CLASS	Age Class	Age Class	NUMBER	1	PATIENT
AGE_CURRENT	Patient Current Age	Patient Current Age	NUMBER	1	PATIENT
AGE_FUDR_START	Age at start of FUDR treatment	Patient age in years at the start of FUDR treatment	NUMBER	1	PATIENT
AGE_GROUP	Age Group at Diagnosis in Years	Age Group at Diagnosis in Years	STRING	1	PATIENT
AGE_IN_DAYS	Diagnosis Age (days)	Age at which a condition or disease was first diagnosed.	NUMBER	1	PATIENT
AGE_REGISTRATION	Age at registration of the study	Age at registration of the study	NUMBER	1	PATIENT
AGE_TESTING_YEARS	Age at Testing (Years)	Age at Testing (Years)	NUMBER	1	PATIENT
AJCC_CLINICAL_TUMOR_STAGE	Neoplasm Disease Stage American Joint Committee on Cancer Code	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	STRING	1	PATIENT
AJCC_INCIDENTAL_PROSTATE_CANCER	AJCC Incidental Prostate Cancer	American Joint Committee on Cancer Code Incidental Prostate Cancer	STRING	1	SAMPLE
AJCC_METASTASIS_CLINICAL_CM	Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage	Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.	STRING	1	PATIENT
AJCC_METASTASIS_PATHOLOGIC_PM	American Joint Committee on Cancer Metastasis Stage Code	Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).	STRING	1	PATIENT
AJCC_NODES_CLINICAL_CN	American Joint Committee on Cancer Lymph Node Stage Code	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	1	PATIENT
AJCC_NODES_CLINICAL_CT	American Joint Committee on Cancer Lymph Node Stage Code	The codes that represent the stage of cancer based on the nodes present (T stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	1	PATIENT
AJCC_NODES_PATHOLOGIC_PN	Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	1	PATIENT
AJCC_PATHOLOGIC_TUMOR_STAGE	Neoplasm Disease Stage American Joint Committee on Cancer Code	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	STRING	1	PATIENT
AJCC_STAGING_EDITION	American Joint Committee on Cancer Publication Version Type	The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.	STRING	1	PATIENT
AJCC_TUMOR_CLINICAL_CT	American Joint Committee on Cancer Tumor Stage Code	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	STRING	1	PATIENT
AJCC_TUMOR_PATHOLOGIC_PT	American Joint Committee on Cancer Tumor Stage Code	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	STRING	1	PATIENT
AKT1_E17K_MUTATION_STATUS	AKT1 E17K Mutation Status	AKT1 E17K Mutation Status	STRING	1	SAMPLE
AKT1_MUTATION	AKT1 Mutation	AKT1 Mutation	STRING	1	SAMPLE
ALB_G_DL	alb (g/dl)	alb (g/dl)	STRING	1	SAMPLE
ALCOHOL	Alcohol	Alcohol	STRING	1	PATIENT
ALCOHOL_CONSUMPTION_FREQUENCY	Alcohol Consumption Frequency	Alcohol Consumption Frequency	STRING	1	PATIENT
ALCOHOL_EXPOSURE_INTENSITY	Alcohol Exposure Intensity	Alcohol Exposure Intensity	STRING	1	PATIENT
ALCOHOL_HISTORY_DOCUMENTED	Alcohol History Documented	Alcohol History Documented	STRING	1	PATIENT
ALC_COUNT	ALC Count	ALC Count	STRING	1	PATIENT
ALIAS	Alias	Other cell line name or ATCC identifier	STRING	1	SAMPLE
ALK_ANALYSIS_TYPE	ALK Analysis Type	ALK Analysis Type	STRING	1	SAMPLE
ALK_TRANSLOCATION_STATUS	ALK Translocation Status	ALK Translocation Status	STRING	1	SAMPLE
ALK_TRANSLOCATION_VARIANT	ALK Translocation Variant	ALK Translocation Variant	STRING	1	SAMPLE
ALLELE_FREQUENCY_CELLULARITY	Cllularity based on allele frequency	Cllularity based on allele frequency	NUMBER	1	SAMPLE
ALLERGIES	Allergies	Allergies	STRING	1	PATIENT
ALPHA_FETOPROTIEN_AT_PROCUREMENT	AFP At Procurement	Alpha Fetoprotein At Procurement	STRING	1	PATIENT
ALPHA_FETOPROTIEN_NORMAL_RANGE_LOWER	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	STRING	1	PATIENT
ALPHA_FETOPROTIEN_NORMAL_RANGE_UPPER	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	STRING	1	PATIENT
ALP_U_L	alp (u/l)	alp (u/l)	STRING	1	SAMPLE
ALTERATIONS	Alterations	Alterations	STRING	1	SAMPLE
ALTERNATE_THERAPY	Alternative Therapy Given	Alternative Therapy Given	STRING	1	PATIENT
ALTERNATE_THERAPY_OTHER	Other Alternative Therapy Given	Other Alternative Therapy Given	STRING	1	PATIENT
ALT_COUNT	Alt Count	Alt Count	NUMBER	1	SAMPLE
ALT_FREQUENCY	Alt Frequency	Alt Frequency	NUMBER	1	SAMPLE
AML_DIAGNOSIS	AML Diagnosis	AML Diagnosis	STRING	1	PATIENT
AML_IN_SKIN_PERCENTAGE	AML in Skin Percentage	AML in skin, determined by WGS.	NUMBER	1	PATIENT
AMOUNT	Amount	Amount	STRING	1	SAMPLE
AMPLIFICATION_1P	1p Amplification	1p Amplification	STRING	1	SAMPLE
AMPLIFICATION_1Q	1q Amplification	1q Amplification	STRING	1	SAMPLE
AMPLIFICATION_STATUS	Amplification Status	Amplification Status	STRING	1	SAMPLE
AMP_12Q15_CDK4	AMP 12q15 CDK4	AMP 12q15 CDK4	STRING	1	SAMPLE
AMP_12Q15_DDIT3	AMP 12q15 DDIT3	AMP 12q15 DDIT3	STRING	1	SAMPLE
AMP_12Q15_FRS2	AMP 12q15 FRS2	AMP 12q15 FRS2	STRING	1	SAMPLE
AMP_12Q15_HMGA2	AMP 12q15 HMGA2	AMP 12q15 HMGA2	STRING	1	SAMPLE
AMP_12Q15_MDM2	AMP 12q15 MDM2	AMP 12q15 MDM2	STRING	1	SAMPLE
AMP_FEATURE	Amp Feature	Amp Feature	STRING	1	SAMPLE
ANALYSIS_COHORT	Analysis Cohort	Analysis Cohort	STRING	1	SAMPLE
ANALYSIS_COHORT_CA	ICC-CA	ICC evaluated by computational analysis	STRING	1	PATIENT
ANALYSIS_COHORT_HA	ICC-HA	Resected ICC evaluated by semi-quantitative histological assessment	STRING	1	SAMPLE
ANALYSIS_ID	analysis id	analysis id	STRING	1	SAMPLE
ANALYSIS_TYPE	Analysis Type	Type of analysis performed	STRING	1	SAMPLE
ANAPLASTIC_PERCENTAGE	Anaplastic Percentage	Anaplastic Percentage	STRING	1	PATIENT
ANATOMICAL_SUBTYPE	Anatomical Subtype	Anatomical Subtype	STRING	1	SAMPLE
ANATOMIC_REGION	Anatomic Region	Anatomic Region.	STRING	1	PATIENT
ANC_COUNT	ANC Count	ANC Count	STRING	1	PATIENT
ANDROGEN_DEPRIVATION_THERAPY	Androgen Deprivation Therapy (ADT)	Androgen Deprivation Therapy (ADT)	STRING	1	PATIENT
ANEUPLOIDY_SCORE	Aneuploidy Score	Aneuploidy Score	NUMBER	1	SAMPLE
ANGIOLYMPHATIC_INVASION	Angiolymphatic Invasion	Presence of angiolymphatic invasion.	STRING	1	PATIENT
ANIMAL_INSECT_ALLERGY_AGE	Animal Insect Allergy Age	Animal Insect Allergy Age	NUMBER	1	PATIENT
ANIMAL_INSECT_ALLERGY_HIST	Animal Insect Allergy History	Animal insect allergy history.	STRING	1	PATIENT
ANIMAL_INSECT_ALLERGY_TYPES	Animal Insect Allergy Types	Animal insect allergy types.	STRING	1	PATIENT
ANTIREFLUX_TREATMENT	Anti-reflux Treatment	Anti-reflux treatment.	STRING	1	PATIENT
ANTIREFLUX_TREATMENT_TYPE	Anti-reflux Treatment Type	Anti-reflux treatment type.	STRING	1	PATIENT
ANTIRETROVIRAL_THERAPY_AT_DIAGNOSIS	Antiretroviral Therapy Status at Diagnosis	Yes/No indicator for antiretroviral therapy at diagnosis	STRING	1	PATIENT
ANTI_O_VIVERRINI_IGG	anti_O_viverrini_IgG	anti_O_viverrini_IgG	STRING	1	SAMPLE
ANY_THERAPY_2YRS	PRD Any Therapy More Than 2 Years	Patient-reported response to the question: Since your diagnosis with metastatic breast cancer, have you been on any of your cancer therapies for more than 2 years?	STRING	1	PATIENT
ANY_THERAPY_XRC_RESPONSE	PRD Extraordinary Reponse to Any Therapy	Patient-reported response to the question: Have any of your therapies worked extraordinarily well - made your cancer disappear completely (resulting in no evidence of disease, NED) or resulted in a dramatic reduction in tumor size - for any period of time?	STRING	1	PATIENT
APC_INTRON	APC Intron	APC Intron	STRING	1	SAMPLE
ARCHER	Archer Panel	Archer Panel	STRING	1	SAMPLE
ARHGAP26_ARHGAP6_CLDN18_REARRANGEMENT	ARHGAP26-ARHGAP6-CLDN18 Rearrangement	ARHGAP26-ARHGAP6-CLDN18 Rearrangement.	STRING	1	SAMPLE
ARHGAP35_MUTATION_STATUS	ARHGAP35 Mutation Status	ARHGAP35 Mutation Status	STRING	1	SAMPLE
ARID1A_MUTATION	ARID1A Mutation	ARID1A mutation is present.	STRING	1	SAMPLE
ARID1A_PROTEIN_CODING	ARID1A Protein Coding	ARID1A Protein Coding	NUMBER	1	SAMPLE
ARID5B_MUTATION_STATUS	ARID5B Mutation Status	ARID5B Mutation Status	STRING	1	SAMPLE
ARMDRIVER_CN	ArmDriver CN	ArmDriver CN	STRING	1	SAMPLE
ARM_SCNA_CLUSTER	Arm-level SCNA cluster assignment	Arm-level SCNA cluster assignment	STRING	1	SAMPLE
ARNT_SOMATIC	ARNT Somatic Mutation	ARNT Somatic Mutation	STRING	1	SAMPLE
AR_EXPRESSION	AR Expression	AR Expression	NUMBER	1	SAMPLE
AR_HIGH	AR High	AR High	STRING	1	SAMPLE
AR_MRNA	AR mRNA	AR mRNA	NUMBER	1	SAMPLE
AR_PROTEIN	AR Protein	AR Protein	NUMBER	1	SAMPLE
AR_SCORE	AR Score	AR score	NUMBER	1	SAMPLE
AR_STATUS	AR Status	AR Status.	STRING	1	SAMPLE
AR_V7_PRESENCE	AR V7 Presence	AR V7 Presence	NUMBER	1	SAMPLE
AR_V7_RATIO	AR V7 Ratio	AR V7 Ratio	NUMBER	1	SAMPLE
AR_V7_READS	AR V7 Reads	AR V7 Reads	NUMBER	1	SAMPLE
AR_VALUE	AR Value	AR Value	STRING	1	SAMPLE
ASBESTOS_EXPOSURE_AGE	Asbestos Exposure Age	Asbestos Exposure Age	STRING	1	PATIENT
ASBESTOS_EXPOSURE_AGE_LAST	Asbestos Exposure Age Last	Asbestos Exposure Age Last	STRING	1	PATIENT
ASBESTOS_EXPOSURE_SOURCE	Asbestos Exposure Source	Asbestos Exposure Source	STRING	1	PATIENT
ASBESTOS_EXPOSURE_TYPE	Asbestos Exposure Type	Asbestos Exposure Type	STRING	1	PATIENT
ASBESTOS_EXPOSURE_YEARS	Asbestos Exposure Years	Asbestos Exposure Years	STRING	1	PATIENT
ASG_5ME	ASG_5ME	ASG 5ME.	STRING	1	SAMPLE
