NORMALIZED_COLUMN_HEADER	ATTRIBUTE_TYPE	DATATYPE	DESCRIPTIONS	DISPLAY_NAME	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
AGE_AT_DIAGNOSIS_mel_cell_2016									
AGE_AT_DIAGNOSIS_mel_cell_2016_priority									
AGE_CURRENT_mixedpact									
AGE_CURRENT_mixedpact_priority									
AGE_CURRENT_msk_solid_heme									
AGE_CURRENT_msk_solid_heme_priority									
AGE_CURRENT_mskarcher									
AGE_CURRENT_mskarcher_priority									
AGE_CURRENT_mskimpact									
AGE_CURRENT_mskimpact_heme									
AGE_CURRENT_mskimpact_heme_priority									
AGE_CURRENT_mskimpact_priority									
AGE_CURRENT_mskraindance									
AGE_CURRENT_mskraindance_priority									
AGE_CURRENT_sclc_mskimpact_2017									
AGE_CURRENT_sclc_mskimpact_2017_priority									
AGE_mixedpact									
AGE_mixedpact_priority									
BIOPSY_TIME_mel_cell_2016									
BIOPSY_TIME_mel_cell_2016_priority									
AA_DNA_MUTATION_SIGNATURE	SAMPLE	STRING	AA DNA MUTATION SIGNATURE	AA DNA MUTATION SIGNATURE	1				
AA_SIGNATURE_NON_NORMALIZED	SAMPLE	STRING	AA SIGNATURE NON NORMALIZED	AA SIGNATURE NON NORMALIZED	1				
AA_SIGNATURE_NORMALIZED	SAMPLE	STRING	AA SIGNATURE NORMALIZED	AA SIGNATURE NORMALIZED	1				
ABDOMINAL_DISTENSION	PATIENT	NUMBER	Abdominal Distension (Weeks)	Abdominal Distension (Weeks)	1				
ABDOMINAL_MASS_WEEKS	PATIENT	NUMBER	Abdominal Mass (Weeks)	Abdominal Mass (Weeks)	1				
ABDOMINAL_PAIN_WEEKS	PATIENT	NUMBER	Abdominal Pain (Weeks)	Abdominal Pain (Weeks)	1				
ABERRANT_CELL_FRACTION	SAMPLE	STRING	Aberrant Cell Fraction	Aberrant Cell Fraction	1				
ABI_ENZA_EXPOSURE_STATUS	PATIENT	STRING	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	1				
ABLATION_EMBOLIZATION_TX_ADJUVANT	PATIENT	STRING	Ablation embolization tx adjuvant	Ablation embolization tx adjuvant	1				
ABNORMAL_LYMPHOCYTE_PERCENT	SAMPLE	NUMBER	Abnormal Lymphocyte Percent	Abnormal Lymphocyte Percent	1				
ABSOLUTE_CANCER_DNA_FRACTION	SAMPLE	NUMBER	Absolute cancer dna fraction	Absolute cancer dna fraction	1				
ABSOLUTE_EXTRACT_PLOIDY	SAMPLE	NUMBER	Absolute extract ploidy.	Absolute Extract Ploidy	1				
ABSOLUTE_EXTRACT_PURITY	SAMPLE	NUMBER	Absolute extract purity.	Absolute Extract Purity	1				
ABSOLUTE_GENOME_DOUBLINGS	SAMPLE	STRING	Absolute Genome Doublings	Absolute Genome Doublings	1				
ABS_NEUTROPHIL_VALUE	PATIENT	STRING	Abs Neutrophil Value	Abs Neutrophil Value	1				
ACCESSION_OUT	SAMPLE	STRING	Accession Out	Accession Out	1				
ACGH_DATA	SAMPLE	STRING	ACGH Data.	ACGH Data	1				
ACGH_TUMOR_TYPE	SAMPLE	STRING	aCGH Tumor Type	aCGH Tumor Type	1				
ACHIEVED_RESECTION	PATIENT	STRING	Achieved Resection	Achieved Resection	1				
ACTIONABLE_ALTERATIONS	SAMPLE	NUMBER	Number of actionable alterations	Actionable Alterations	1				
ACTIONABLE_ALT_LEVEL	SAMPLE	STRING	Level of actionable alterations	Level of actionable alterations	1				
ADDITIONAL_NOTES	SAMPLE	STRING	Additional Notes	Additional Notes	1				
ADDITIONAL_RX_TX	PATIENT	STRING	Additional radiation therapy Yes/No indicator	Additional Radiation Therapy	1				
ADDITIONAL_SAMPLE	SAMPLE	STRING	Is there an additional sample?	Is there an additional sample?	1				
ADDITIONAL_SURGERY_FOR_NEW_TUMOR_EVENT	SAMPLE	STRING	Additional Surgery For New Tumor Event	Additional Surgery For New Tumor Event	1				
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_PHARMACEUTICAL	PATIENT	STRING	Additional Treatment For New Tumor Event: Pharmaceutical	Additional Treatment For New Tumor Event: Pharmaceutical	1				
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_RADIATION	PATIENT	STRING	Additional Treatment For New Tumor Event: Radiation	Additional Treatment For New Tumor Event: Radiation	1				
ADIPOSE_TISSUE_PERCENTAGE	SAMPLE	NUMBER	% Adipose Tissue	% Adipose Tissue	1				
ADJUVANT_CHEMO	PATIENT	STRING	Adjuvant Chemotherapy	Adjuvant Chemotherapy	1				
ADJUVANT_CT	PATIENT	STRING	Adjuvant chemotherapy receivec	Adjuvant Chemotherapy	1				
ADJUVANT_FOLFOX_METACHRONOUS_METS	SAMPLE	STRING	For metachronous mets, did they get adjuvant FOLFOX	Metachronous Mets received adj FOLFOX	1				
ADJUVANT_HAIP	PATIENT	STRING	Adjuvant HAIP	Adjuvant HAIP	1				
ADJUVANT_HORMONE_THERAPY	PATIENT	STRING	Adjuvant Hormone Therapy	Adjuvant Hormone Therapy	1				
ADJUVANT_NEOADJ_IMATINIB	PATIENT	STRING	Adjuvant/Neoadjuvant Imatinib	Adjuvant/Neoadjuvant Imatinib	1				
ADJUVANT_TX	PATIENT	STRING	Adjuvant treatment.	Adjuvant Treatment	1				
ADJ_RT_AFTER_FIRST_SURGERY	PATIENT	STRING	Adjuvant RT after first surgery?	Adjuvant RT after first surgery?	1				
ADJ_TX_AFTER_FIRST_SURGERY	PATIENT	STRING	Adjuvant therapy after first surgery?	Adjuvant therapy after first surgery?	1				
ADJ_XRT	PATIENT	STRING	Status of adjuvant radiation therapy. Adjuvant therapy is therapy received after surgery.	MedR Adjuvant Radiation	1				
ADMINISTRATION_OF_DRUG_WEEKS	PATIENT	NUMBER	Administration Of Drug Weeks	Administration Of Drug Weeks	1				
AE1	SAMPLE	STRING	AE1	AE1	1				
AE1_AE3_STAIN	SAMPLE	STRING	AE1:AE3 Stain	AE1:AE3 Stain	1				
AFB1_SIGNATURE_NON_NORMALIZED	SAMPLE	STRING	AFB1 SIGNATURE NON NORMALIZED	AFB1 SIGNATURE NON NORMALIZED	1				
AFB1_SIGNATURE_NORMALIZED	SAMPLE	STRING	AFB1 SIGNATURE NORMALIZED	AFB1 SIGNATURE NORMALIZED	1				
AFP_AT_PROCUREMENT	SAMPLE	STRING	Alpha Fetoprotein At Procurement	AFP At Procurement	1				
AFP_NORM_RANGE_LOWER	SAMPLE	STRING	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	1				
AFP_NORM_RANGE_UPPER	SAMPLE	STRING	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	1				
AGE	PATIENT	NUMBER	Age at which a condition or disease was first diagnosed.	Diagnosis Age	1				
AGENT	PATIENT	STRING	AGENT	AGENT	1				
AGE_AT_BIRTH_OF_FIRST_CHILD	PATIENT	NUMBER	Age at Birth Of First Child	Age at Birth Of First Child	1				
AGE_AT_BMI_MEASUREMENT	PATIENT	NUMBER	Age at BMI Measurement	Age at BMI Measurement	1				
AGE_AT_DEATH	PATIENT	STRING	Age at Death	Age at Death	1				
AGE_AT_DIAGNOSIS	PATIENT	NUMBER	Age at Diagnosis	Age at Diagnosis	1				
AGE_AT_DIAGNOSIS_GROUP	PATIENT	STRING	Patient's age at the time of primary diagnosis with cancer grouped into 5 year intervals.	MedR Age at Diagnosis	1				
AGE_AT_INITIAL_DIAGNOSIS	SAMPLE	NUMBER	Age recorded at initial diagnosis	Age at Initial Diagnosis	1				
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS	PATIENT	NUMBER	Age At Initial Pathological Diagnosis	Age At Initial Pathological Diagnosis	1				
AGE_AT_LAST_FOLLOWUP	PATIENT	NUMBER	Age At Last Follow-up	Age At Last Follow-Up	1				
AGE_AT_PROCEDURE	SAMPLE	NUMBER	Age recorded at procedure	Age at Procedure	1				
AGE_AT_PROCUREMENT	PATIENT	NUMBER	Age At Procurement Of The Submitted Specimen	Age At Procurement	1				
AGE_AT_RELAPSE	PATIENT	NUMBER	Age at relapse	Age at relapse	1				
AGE_AT_SEQ_REPORT	SAMPLE	NUMBER	Age (in days) at which sequencing was reported	Age at Which Sequencing was Reported (Days)	1				
AGE_AT_SURGERY	PATIENT	NUMBER	Age at surgery.	Age At Surgery	1				
AGE_CELL_LINE_YEAR	PATIENT	NUMBER	Age of patient when cell line was established	Age of patient when cell line was established	1				
AGE_CLASS	PATIENT	NUMBER	Age Class	Age Class	1				
AGE_CURRENT	PATIENT	NUMBER	Patient Current Age	Patient Current Age	1				
AGE_FUDR_START	PATIENT	NUMBER	Patient age in years at the start of FUDR treatment	Age at start of FUDR treatment	1				
AGE_GROUP	PATIENT	STRING	Age Group at Diagnosis in Years	Age Group at Diagnosis in Years	1				
AGE_IN_DAYS	PATIENT	NUMBER	Age at which a condition or disease was first diagnosed.	Diagnosis Age (days)	1				
AGE_REGISTRATION	PATIENT	NUMBER	Age at registration of the study	Age at registration of the study	1				
AGE_TESTING_YEARS	PATIENT	NUMBER	Age at Testing (Years)	Age at Testing (Years)	1				
AJCC_CLINICAL_TUMOR_STAGE	PATIENT	STRING	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	Neoplasm Disease Stage American Joint Committee on Cancer Code	1				
AJCC_INCIDENTAL_PROSTATE_CANCER	SAMPLE	STRING	American Joint Committee on Cancer Code Incidental Prostate Cancer	AJCC Incidental Prostate Cancer	1				
AJCC_METASTASIS_CLINICAL_CM	PATIENT	STRING	Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.	Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage	1				
AJCC_METASTASIS_PATHOLOGIC_PM	PATIENT	STRING	Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).	American Joint Committee on Cancer Metastasis Stage Code	1				
AJCC_NODES_CLINICAL_CN	PATIENT	STRING	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	American Joint Committee on Cancer Lymph Node Stage Code	1				
AJCC_NODES_CLINICAL_CT	PATIENT	STRING	The codes that represent the stage of cancer based on the nodes present (T stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	American Joint Committee on Cancer Lymph Node Stage Code	1				
AJCC_NODES_PATHOLOGIC_PN	PATIENT	STRING	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	1				
AJCC_PATHOLOGIC_TUMOR_STAGE	PATIENT	STRING	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	Neoplasm Disease Stage American Joint Committee on Cancer Code	1				
AJCC_STAGING_EDITION	PATIENT	STRING	The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.	American Joint Committee on Cancer Publication Version Type	1				
AJCC_TUMOR_CLINICAL_CT	PATIENT	STRING	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	American Joint Committee on Cancer Tumor Stage Code	1				
AJCC_TUMOR_PATHOLOGIC_PT	PATIENT	STRING	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	American Joint Committee on Cancer Tumor Stage Code	1				
AKT1_E17K_MUTATION_STATUS	SAMPLE	STRING	AKT1 E17K Mutation Status	AKT1 E17K Mutation Status	1				
AKT1_MUTATION	SAMPLE	STRING	AKT1 Mutation	AKT1 Mutation	1				
ALB_G_DL	SAMPLE	STRING	alb (g/dl)	alb (g/dl)	1				
ALCOHOL	PATIENT	STRING	Alcohol	Alcohol	1				
ALCOHOL_CONSUMPTION_FREQUENCY	PATIENT	STRING	Alcohol Consumption Frequency	Alcohol Consumption Frequency	1				
ALCOHOL_EXPOSURE_INTENSITY	PATIENT	STRING	Alcohol Exposure Intensity	Alcohol Exposure Intensity	1				
ALCOHOL_HISTORY_DOCUMENTED	PATIENT	STRING	Alcohol History Documented	Alcohol History Documented	1				
ALC_COUNT	PATIENT	STRING	ALC Count	ALC Count	1				
ALIAS	SAMPLE	STRING	Other cell line name or ATCC identifier	Alias	1				
ALK_ANALYSIS_TYPE	SAMPLE	STRING	ALK Analysis Type	ALK Analysis Type	1				
ALK_TRANSLOCATION_STATUS	SAMPLE	STRING	ALK Translocation Status	ALK Translocation Status	1				
ALK_TRANSLOCATION_VARIANT	SAMPLE	STRING	ALK Translocation Variant	ALK Translocation Variant	1				
ALLELE_FREQUENCY_CELLULARITY	SAMPLE	NUMBER	Cllularity based on allele frequency	Cllularity based on allele frequency	1				
ALLERGIES	PATIENT	STRING	Allergies	Allergies	1				
ALPHA_FETOPROTIEN_AT_PROCUREMENT	PATIENT	STRING	Alpha Fetoprotein At Procurement	AFP At Procurement	1				
ALPHA_FETOPROTIEN_NORMAL_RANGE_LOWER	PATIENT	STRING	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	1				
