STUDY_ID	STUDY_TYPE	MAX_TMB	MIN_TMB	MEDIAN_TMB
sclc_cancercell_gardner_2017	WGS/WES	64.77	6.63	50.02
cscc_hgsc_bcm_2014	WGS/WES	244.40	1.87	45.83
desm_broad_2015	WGS/WES	87.87	0.70	25.25
cscc_ucsf_2021	WGS/WES	140.17	0.23	21.40
mel_ucla_2016	WGS/WES	137.20	3.43	16.57
skcm_broad_brafresist_2012	WGS/WES	194.53	1.03	15.18
skcm_tcga_pan_can_atlas_2018	WGS/WES	1052.20	0.20	14.88
skcm_mskcc_2014	WGS/WES	112.00	0.03	12.75
skcm_broad	WGS/WES	162.70	1.17	11.30
skcm_tcga	WGS/WES	1057.20	0.23	9.63
skcm_tcga_pub_2015	WGS/WES	1031.53	0.23	9.52
skcm_broad_dfarber	WGS/WES	51.03	0.67	9.40
cellline_nci60	WGS/WES	185.20	3.90	9.20
ccle_broad_2019	WGS/WES	638.83	0.47	9.03
mel_dfci_2019	WGS/WES	328.17	0.30	8.35
lusc_tcga_pan_can_atlas_2018	WGS/WES	53.00	0.03	7.93
sclc_ucologne_2015	WGS/WES	24.43	1.17	7.80
mixed_allen_2018	WGS/WES	216.73	0.43	7.73
lusc_tcga_pub	WGS/WES	82.40	0.07	7.73
lusc_tcga	WGS/WES	84.83	0.07	7.55
skcm_dfci_2015	WGS/WES	205.93	0.37	7.52
nsclc_mskcc_2015	WGS/WES	24.03	0.30	6.80
luad_tcga_pan_can_atlas_2018	WGS/WES	69.47	0.07	6.73
nsclc_tcga_broad_2016	WGS/WES	89.13	0.03	6.73
blca_dfarber_mskcc_2014	WGS/WES	24.47	0.27	6.53
luad_mskcc_2015	WGS/WES	38.50	0.30	6.40
sclc_clcgp	WGS/WES	27.73	1.33	6.37
luad_broad	WGS/WES	90.37	0.03	6.30
esca_tcga	WGS/WES	68.23	0.07	5.97
blca_tcga_pan_can_atlas_2018	WGS/WES	118.63	0.03	5.77
nsclc_mskcc_2018	WGS/WES	49.90	0.37	5.73
blca_tcga	WGS/WES	41.60	0.47	5.65
blca_tcga_pub_2017	WGS/WES	118.07	0.07	5.53
blca_tcga_pub	WGS/WES	41.53	0.67	5.52
gbm_mayo_pdx_sarkaria_2019	WGS/WES	142.33	1.83	5.33
luad_tcga	WGS/WES	44.77	0.43	5.33
luad_tcga_pub	WGS/WES	44.77	0.43	5.33
sclc_jhu	WGS/WES	25.10	1.03	5.32
blca_cornell_2016	WGS/WES	21.23	0.60	4.98
stes_tcga_pub	WGS/WES	218.00	0.07	4.98
coadread_dfci_2016	WGS/WES	149.73	0.07	4.80
lung_smc_2016	WGS/WES	15.93	2.03	4.75
nsclc_tracerx_2017	WGS/WES	47.47	0.30	4.63
acyc_mgh_2016	WGS/WES	9.87	1.57	4.48
coad_cptac_2019	WGS/WES	315.00	2.17	4.47
pcnsl_mayo_2015	WGS/WES	9.63	1.37	4.47
